species,name_change,Split_species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,New_Data_Notes,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Ploceus reichardi,0,,Ploceus reichardi,Passeriformes,LC,No,Volant,26.6,18.4,Wetland,Herbivore,Granivore,-7.47,,15.7,10.1,5.5,7.1,19.7,68,12.5,55.5,47.2,Not threatened
Ploceus rubiginosus,0,,Ploceus rubiginosus,Passeriformes,LC,No,Volant,30,21.2,Shrubland,Herbivore,Granivore,-5.51,,17.8,12.7,6.7,9.1,21.8,79.8,16.9,62.9,50.6,Not threatened
Ploceus ruweti,0,,Ploceus ruweti,Passeriformes,LC,No,Volant,17,14.9,Wetland,Omnivore,Omnivore,-9.52,,14.9,8.7,5.7,7,20.3,69,10.3,58.7,47.7,Not threatened
Ploceus sakalava,0,,Ploceus sakalava,Passeriformes,LC,Yes,Volant,23.8,17.5,Woodland,Herbivore,Granivore,-19.48,,17.6,11.9,6.5,9.6,20.7,78.2,13.7,64.6,50,Not threatened
Ploceus sanctithomae,0,,Ploceus sanctithomae,Passeriformes,LC,Yes,Volant,22,16.8,Forest,Herbivore,Granivore,0.24,,19.6,12.3,4.3,5.9,23,77,12.8,63.5,50.3,Not threatened
Ploceus spekei,0,,Ploceus spekei,Passeriformes,LC,No,Volant,35.1,24.6,Woodland,Herbivore,Granivore,3.65,,18.7,12.6,6.5,8.1,21.2,78.4,19.2,58.8,44.6,Not threatened
Ploceus spekeoides,0,,Ploceus spekeoides,Passeriformes,NT,No,Volant,26.6,21.1,Wetland,Herbivore,Granivore,1.71,,19.5,14.2,6.8,8.9,20.3,69.5,14.7,54.8,36.2,Not threatened
Ploceus subaureus,0,,Ploceus subaureus,Passeriformes,LC,No,Volant,30.4,18.5,Riverine,Herbivore,Granivore,-11.32,,17.7,12.4,6.8,9,21.5,75.8,14.1,61.7,49,Not threatened
Ploceus subpersonatus,0,,Ploceus subpersonatus,Passeriformes,VU,No,Volant,22.5,13.4,Wetland,Herbivore,Granivore,-2.15,,18.1,11.5,5.3,6.2,21.8,67,9,58,56,Threatened
Ploceus superciliosus,0,,Ploceus superciliosus,Passeriformes,LC,No,Volant,21.4,17.6,Grassland,Herbivore,Granivore,3.06,,17.1,11.6,6.7,9.2,19.3,67.4,11.9,55.6,44.6,Not threatened
Ploceus taeniopterus,0,,Ploceus taeniopterus,Passeriformes,LC,No,Volant,17.6,19,Wetland,Herbivore,Granivore,9.49,,16.9,11.1,5.9,7.5,20.1,66.8,12.5,53,43.8,Not threatened
Ploceus temporalis,0,,Ploceus temporalis,Passeriformes,LC,No,Volant,35.8,27.4,Wetland,Carnivore,Invertivore,-11.51,,17.2,11.1,6.2,7.3,21.2,82,22.5,59.5,48.3,Not threatened
Ploceus tricolor,0,,Ploceus tricolor,Passeriformes,LC,No,Volant,36.8,19.7,Forest,Carnivore,Invertivore,2.93,,20.5,12.6,6,7,19.6,84.2,16.4,67.3,51.2,Not threatened
Ploceus upembae,0,,Ploceus upembae,Passeriformes,DD,No,Volant,18.5,19.6,Wetland,Herbivore,Granivore,-8.49,,15,9.7,5.4,6.9,18.7,65.2,12.8,52.4,44.5,DD
