IUCN_name,Frequency_month,Survey_interval_days,Road_length_km,Survey_period_days,Latitude,Longitude,Country,Roadkill_rate_ind_km_y,Roadkillrate_corrected,AdultBodyMass_g_median,Home_range_Km2,longevity_y,Ageofmaturity_d,SocialGrpSize,Diet_Invertebrates,Diet_Vertebrates.ectotherms,Diet_Scavenger,Diet_Seed,Diet_Plant,Activity_1Diurnal_2Nocturnal,Litter_clutch_size,Litters_or_clutches_per_y,Diet_breadth,Artificial,Cropland,Grassland,Forest,Sparse.vegetation,Water.bodies,Habitat_breadth,Population.density_IndKm2,risk_category
Panthera onca,56,0.5,34,1461,-25.753,-54.54,Argentina,0.007347908,0.007347908,83.94309,52.55,23,906.15208,1,0,10,0,0,0,Nocturnal,1.98,0.5,3,0,0,1,1,0,1,4,0.02405,low
Philander frenatus,28,1,180.4,1126,-22.307184,-43.130266,Brazil,0.003593751,0.005042033,0.467,0.04,3.5,216.665,1.19589285714286,30,20,0,0,0,Nocturnal,4.675,2.5,5,0,0,0,1,1,0,4,96.6161309523809,low
Philander frenatus,672,0.041666667,57.5,1765,-20.580677,-40.417217,Brazil,0.01798251,0.01798251,0.467,0.04,3.5,216.665,1.19589285714286,30,20,0,0,0,Nocturnal,4.675,2.5,5,0,0,0,1,1,0,4,96.6161309523809,low
Philander opossum,56,0.5,34,1461,-25.753,-54.54,Argentina,0.007347908,0.007347908,0.51,0.00307,3.5,213.08,1,30,20,0,0,0,Nocturnal,4.675,2.5,5,0,1,0,1,1,0,5,95.74,low
Philander opossum,4,7,63,242,-26.581324,-48.722133,Brazil,0.023940706,0.04103437,0.51,0.00307,3.5,213.08,1,30,20,0,0,0,Nocturnal,4.675,2.5,5,0,1,0,1,1,0,5,95.74,medium
Philander opossum,10,2.8,8,730,18.436503,-95.089337,Mexico,0.8125,1.2406875,0.51,0.00307,3.5,213.08,1,30,20,0,0,0,Nocturnal,4.675,2.5,5,0,1,0,1,1,0,5,95.74,high
Potos flavus,12,2.333333333,99,184,-0.461755,-77.904245,Ecuador,0.02003733,0.025928305,2.44181,0.22,32,830.7777,1,10,0,0,0,0,Nocturnal,1.055,1,3,0,0,0,1,1,0,3,29.798340047619,low
Potos flavus,672,0.041666667,57.5,1765,-20.580677,-40.417217,Brazil,0.003596502,0.003596502,2.44181,0.22,32,830.7777,1,10,0,0,0,0,Nocturnal,1.055,1,3,0,0,0,1,1,0,3,29.798340047619,low
Potos flavus,8,3.5,38.92,92,9.245341,-79.64701,Panama,0.101937084,0.148522331,2.44181,0.22,32,830.7777,1,10,0,0,0,0,Nocturnal,1.055,1,3,0,0,0,1,1,0,3,29.798340047619,high
Potos flavus,12,2.333333333,59.6,730,-19.72597,-40.644482000000004,Brazil,0.008389262,0.010855705,2.44181,0.22,32,830.7777,1,10,0,0,0,0,Nocturnal,1.055,1,3,0,0,0,1,1,0,3,29.798340047619,low
