"IUCN_name","Frequency_month","Survey_interval_days","Road_length_km","Survey_period_days","Latitude","Longitude","Country","Roadkill_rate_ind_km_y","Roadkillrate_corrected","AdultBodyMass_g_median","Home_range_Km2","longevity_y","Ageofmaturity_d","SocialGrpSize","Diet_Invertebrates","Diet_Vertebrates.ectotherms","Diet_Scavenger","Diet_Seed","Diet_Plant","Activity_1Diurnal_2Nocturnal","Litter_clutch_size","Litters_or_clutches_per_y","Diet_breadth","Artificial","Cropland","Grassland","Forest","Sparse.vegetation","Water.bodies","Habitat_breadth","Population.density_IndKm2"
"Cerdocyon thous",224,0.125,160,790,-22.267404,-48.202888,"Brazil",0.092405063,0.092405063,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",4,7,70,214,-20.187971,-54.806624,"Brazil",0.511682243,0.745521028,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",16,1.75,130,304,-20.675583,-43.349806,"Brazil",0.02770749,0.035853492,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",4,7,216,538,-16.575593,-50.261,"Brazil",0.185314264,0.270002883,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",4,7,96,365,-19.36333333,-48.07916667,"Brazil",0.541666667,0.789208334,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",8,3.5,178.8,91,9.017987,-73.633823,"Colombia",0.695417558,1.013223382,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Chaetomys subspinosus",672,0.041666667,57.5,1765,-20.580677,-40.417217,"Brazil",0.007193004,0.007193004,1.29999,0.05,10.0750111113673,493.5298649,1,"0","0","0","60","0","Nocturnal",2.43695,1.6409625,2,"0","0","0","1","0","0",1,51.1368544444444
"Chironectes minimus",56,0.5,34,1461,-25.753,-54.54,"Argentina",0.007347908,0.007347908,0.946,0.5302635,3,304.4,1,"50","0","0","0","20","Nocturnal",3.43,1.1,3,"0","0","0","1","0","0",2,217.907666666667
"Choloepus didactylus",8,3.5,25,1310,-6.115415,-49.990498,"Brazil",0.033435115,0.048714963,6.25,5.65,32.28333333,1270.87,1,"0","0","0","0","70","Nocturnal",1,1,2,"0","0","0","1","0","0",1,74.5541906666667
"Choloepus didactylus",8.33,3.361344538,107,90,4.390395,-73.297052,"Colombia",0.037902388,0.055223779,6.25,5.65,32.28333333,1270.87,1,"0","0","0","0","70","Nocturnal",1,1,2,"0","0","0","1","0","0",1,74.5541906666667
"Choloepus hoffmanni",8,3.5,178.8,91,9.017987,-73.633823,"Colombia",0.044865649,0.065369251,4.75001,3.58328083333333,32.1,823.61616,1,"0","0","0","0","70","Nocturnal",1,0.745,2,"0","0","0","1","0","0",2,48.3338963333333
"Choloepus hoffmanni",8,3.5,38.92,92,9.245341,-79.64701,"Panama",0.815496671,1.18817865,4.75001,3.58328083333333,32.1,823.61616,1,"0","0","0","0","70","Nocturnal",1,0.745,2,"0","0","0","1","0","0",2,48.3338963333333
"Choloepus hoffmanni",8,3.5,27.2,182,9.489191,-75.514281,"Colombia",0.589851325,0.859413381,4.75001,3.58328083333333,32.1,823.61616,1,"0","0","0","0","70","Nocturnal",1,0.745,2,"0","0","0","1","0","0",2,48.3338963333333
"Chrysocyon brachyurus",8,3.5,55,366,-18.232298,-50.431983,"Brazil",0.018132141,0.026418529,23.24984,21.36,15.66666667,730,3.54878571428571,"10","20","0","0","10","Nocturnal",2.5,1,5,"0","1","1","0","1","0",6,24.213699125
"Chrysocyon brachyurus",9.3,3.010752688,136,547,-14.157535,-47.59415,"Brazil",0.034345091,0.050040798,23.24984,21.36,15.66666667,730,3.54878571428571,"10","20","0","0","10","Nocturnal",2.5,1,5,"0","1","1","0","1","0",6,24.213699125
"Chrysocyon brachyurus",4,7,100,365,-13.561588,-58.421854,"Brazil",0.01,0.01457,23.24984,21.36,15.66666667,730,3.54878571428571,"10","20","0","0","10","Nocturnal",2.5,1,5,"0","1","1","0","1","0",6,24.213699125
"Chrysocyon brachyurus",224,0.125,160,790,-22.267404,-48.202888,"Brazil",0.028876582,0.028876582,23.24984,21.36,15.66666667,730,3.54878571428571,"10","20","0","0","10","Nocturnal",2.5,1,5,"0","1","1","0","1","0",6,24.213699125
"Chrysocyon brachyurus",4,7,96,365,-19.36333333,-48.07916667,"Brazil",0.083333333,0.121416666,23.24984,21.36,15.66666667,730,3.54878571428571,"10","20","0","0","10","Nocturnal",2.5,1,5,"0","1","1","0","1","0",6,24.213699125
"Chrysocyon brachyurus",4,7,216,538,-16.575593,-50.261,"Brazil",0.012563679,0.01830528,23.24984,21.36,15.66666667,730,3.54878571428571,"10","20","0","0","10","Nocturnal",2.5,1,5,"0","1","1","0","1","0",6,24.213699125
"Chrysocyon brachyurus",672,0.041666667,366,1461,-24.866723,-50.445759,"Brazil",0.014334444,0.014334444,23.24984,21.36,15.66666667,730,3.54878571428571,"10","20","0","0","10","Nocturnal",2.5,1,5,"0","1","1","0","1","0",6,24.213699125
"Chrysocyon brachyurus",4,7,192,365,-19.278735,-48.122972,"Brazil",0.041666667,0.060708334,23.24984,21.36,15.66666667,730,3.54878571428571,"10","20","0","0","10","Nocturnal",2.5,1,5,"0","1","1","0","1","0",6,24.213699125
"Chrysocyon brachyurus",28,1,180.4,1126,-22.307184,-43.130266,"Brazil",0.010781252,0.012894377,23.24984,21.36,15.66666667,730,3.54878571428571,"10","20","0","0","10","Nocturnal",2.5,1,5,"0","1","1","0","1","0",6,24.213699125
